# NAVSIM Weapons Database
# All weapons used by ships in the simulation.
# MuzzleVel: m/s for guns; Mach number for missiles/torpedoes (converted to m/s * 340 in code)
# MountPosition: BOW=0 AMIDSHIPS=1 STERN=2
# Type: SSM SAM TORPEDO GUN5IN GUN130MM GUN76MM CIWS CRUISE ASROC HARM
# IsAntiAir,IsCIWS,IsSAM,IsAntiSub,IsSeaSkimmer,IsHARM: 0 or 1
# MagazineLimit: physical max rounds (for CIWS barrel wear tracking)
Name,Type,Range,PHit,Damage,SalvoSize,ReloadTicks,Ammo,MuzzleVel,Mass,ElevAngle,GuidanceQuality,IsAntiAir,IsCIWS,IsSAM,IsAntiSub,IsSeaSkimmer,IsHARM,MagazineLimit,MountPosition,WarheadKg,Notes
Harpoon RGM-84,SSM,70,0.75,95,2,45,16,0.85,520,0,0.88,0,0,0,0,0,0,16,1,227,Subsonic sea-skimming ASuW missile
NSM,SSM,100,0.72,85,2,55,8,0.95,407,0,0.90,0,0,0,0,0,0,8,1,120,Naval Strike Missile; stealthy subsonic
Tomahawk BGM-109,CRUISE,280,0.78,180,1,90,32,0.72,1400,0,0.92,0,0,0,0,0,0,32,1,454,Land-attack/anti-ship cruise missile
Tomahawk UGM-109,CRUISE,280,0.76,180,1,120,8,0.72,1400,0,0.90,0,0,0,0,0,0,8,1,454,Sub-launched Tomahawk
Harpoon UGM-84,SSM,70,0.73,95,2,55,4,0.85,520,0,0.86,0,0,0,0,0,0,4,1,227,Sub-launched Harpoon
AGM-88 HARM,HARM,80,0.72,65,1,45,8,2.0,360,0,0.90,0,0,0,0,0,1,8,1,66,Anti-radiation missile; homes on radar emitters; Mach 2
SM-2MR Standard,SAM,95,0.68,48,2,28,96,3.5,700,0,0.82,1,0,1,0,0,0,96,1,115,Area-defense SAM; intercepts missiles at range
SM-1MR Standard,SAM,25,0.58,35,1,22,40,2.5,450,0,0.70,1,0,1,0,0,0,40,1,61,Older area-defense SAM
SM-2ER Standard,SAM,120,0.72,55,2,30,68,3.5,900,0,0.84,1,0,1,0,0,0,68,1,115,Extended-range SM-2
Sea Sparrow BPDMS,SAM,10,0.60,35,2,25,40,2.5,180,0,0.75,1,0,1,0,0,0,40,1,40,Point-defense SAM
ESSM RIM-162,SAM,27,0.78,40,2,15,32,4.0,280,0,0.88,1,0,1,0,0,0,32,1,39,Evolved Sea Sparrow; quad-packed in VLS
Phalanx CIWS,CIWS,1.5,0.62,18,1,3,2000,1100,0.1,85,0.90,1,1,0,0,0,0,2000,1,0,20mm M61 Vulcan; 4500rpm; overheat threshold 30000rds
SeaRAM,SAM,5.0,0.92,25,1,8,11,2.2,280,0,0.92,1,1,1,0,0,0,11,1,9,RIM-116 Rolling Airframe Missile; 11-rd magazine
Millennium Gun,CIWS,2.0,0.56,16,1,4,1000,1000,35,75,0.88,1,1,0,0,0,0,1000,1,0,35mm Oerlikon; 1000rpm
Mk 45 5in54,GUN5IN,14,0.48,28,4,8,680,808,0,45,0,0,0,0,0,0,0,680,0,32,127mm/54 naval gun; bow mount
Mk 45 5in62,GUN5IN,15,0.50,30,4,7,700,870,0,45,0,0,0,0,0,0,0,700,0,32,127mm/62 improved version
Mk 42 5in38,GUN5IN,11,0.42,24,3,10,450,762,0,42,0,0,0,0,0,0,0,450,0,32,Older 127mm mount
Mk 75 76mm,GUN76MM,10,0.42,20,5,6,500,925,22,50,0,0,0,0,0,0,0,500,0,12,OTO Melara 76mm compact
Mk 110 57mm,GUN76MM,9,0.45,18,6,5,600,1000,25,52,0,0,0,0,0,0,0,600,0,6,BAE 57mm Mk110
Mk 110 76mm,GUN76MM,12,0.44,21,5,6,480,925,22,48,0,0,0,0,0,0,0,480,0,12,76mm Mk110 variant
Mk 46 ASW,TORPEDO,6,0.62,130,1,65,12,45,235,0,0.65,0,0,0,1,0,0,12,0,44,Mk46 ASW torpedo; hull tube launched
Mk 48 ADCAP,TORPEDO,22,0.80,240,1,95,26,55,1663,0,0.74,0,0,0,1,0,0,26,0,292,Wire-guided heavyweight torpedo
RUM-139 VL-ASROC,ASROC,15,0.58,110,1,70,24,2.8,400,0,0.70,0,0,0,1,0,0,24,1,44,VLS-launched rocket-delivered Mk46 torpedo
ASROC,ASROC,8,0.52,100,1,80,16,2.2,350,0,0.60,0,0,0,1,0,0,16,1,44,Box-launched ASROC
P-700 Granit,SSM,150,0.45,165,2,70,12,2.5,7000,0,0.68,0,0,0,0,1,0,12,1,750,Oscar-class SS-N-19 Shipwreck; supersonic sea-skimmer
